Valeur,Libellé
BC,Bûcher
BD,Buanderie
BX,Box
CV,Cave
CL,Cellier
DC,Dépendance de local commun
PA,Élément de pur agrément
GA,Garage
GR,Grenier
JH,Jardin d'hiver
PK,Parking
PI,Pièce indépendante
PS,Piscine
RS,Remise
SR,Serre
TR,Terrasse
