Valeur,Libellé
RP,Résidence principale
RS,Résidence secondaire
RE,Dépendance principale isolée
vacant,Local vacant non taxé
vacant_tlv,Local vacant taxé TLV
vacant_thlv,Local vacant taxé THLV
