Valeur,Libellé
1,"Grand luxe"
2,"Luxe"
3,"Très confortable"
4,"Confortable"
5,"Assez confortable"
6,"Ordinaire"
7,"Médiocre"
8,"Très médiocre"
1M,"Grand luxe intermédiaire"
2M,"Luxe intermédiaire"
3M,"Très confortable intermédiaire"
4M,"Confortable intermédiaire"
5M,"Assez confortable intermédiaire"
6M,"Ordinaire intermédiaire"
7M,"Médiocre intermédiaire"
